gene_name,sample_id,TPM
HNRNPA1,26656,10605.61158138805
HNRNPA1,26657,13564.659499610449
HNRNPA1,26658,20002.663441450368
HNRNPA1,26659,10185.335917468907
HNRNPA1,26660,18058.20191008626
HNRNPA1,26661,5611.60999232744
HNRNPA1,26662,22082.015062538638
HNRNPA1,26663,22474.992021453196
HNRNPA1,26664,14470.801088287877
HNRNPA1,26665,17373.653229212687
HNRNPA1,26666,13050.312029428624
HNRNPA1,26667,14900.343810490054
HNRNPA1,26668,14597.639482326773
HNRNPA1,26669,21824.096971561747
HNRNPA1,26670,14186.720080217221
HNRNPA1,26671,13563.237139622779
HNRNPA1,26672,13547.290308103378
HNRNPA1,26673,22257.758604478015
HNRNPA1,26674,13640.741567475336
HNRNPA1,26675,25768.69466984568
HNRNPA1,26690,12436.716342506781
HNRNPA1,26691,13862.381730501771
HNRNPA1,26692,14664.053555532571
HNRNPA1,26693,1467.5972141516515
HNRNPA1,26694,11325.492491547091
HNRNPA1,26695,11426.39355913982
HNRNPA1,26696,28486.133559636863
HNRNPA1,26697,9802.377330929046
HNRNPA1,26698,15464.34359165999
HNRNPA1,26699,2193.608257090198
HNRNPA1,26700,13147.344559400999
HNRNPA1,26701,14488.000273472871
HNRNPA1,26784,16480.70747222825
HNRNPA1,26785,22365.90752071181
HNRNPA1,26786,27019.899751032168
HNRNPA1,26787,25067.297956522096
HNRNPA1,26788,5316.97929225565
HNRNPA1,26789,12539.44066958364
HNRNPA1,26790,14180.29504303095
HNRNPA1,26791,12443.638254657708
HNRNPA1,26792,16877.34054963687
HNRNPA1,26793,12914.337121729652
HNRNPA1,26794,10360.428030862113
HNRNPA1,26795,11364.274425305155
HNRNPA1,26796,12048.603122209548
HNRNPA1,26797,15136.304126696865
HNRNPA1,26798,8022.055576914741
HNRNPA1,26799,13866.031828809491
HNRNPA1,26800,16386.083907637072
HNRNPA1,26801,20282.86547713901
HNRNPA1,26802,13721.160482024676
HNRNPA1,26803,17354.671784787322
HNRNPA1,26818,9981.400139059302
HNRNPA1,26819,12612.31913155361
HNRNPA1,26820,24999.381708307686
HNRNPA1,26821,17056.44702692293
HNRNPA1,26822,19106.795903797225
