gene_name,sample_id,TPM
HNRNPC,26656,9326.03992398604
HNRNPC,26657,7400.817605891417
HNRNPC,26658,8082.49408379271
HNRNPC,26659,9230.12203934702
HNRNPC,26660,11778.747411916607
HNRNPC,26661,6195.7275900512495
HNRNPC,26662,10312.810506166854
HNRNPC,26663,10070.580518839477
HNRNPC,26664,9492.931472381246
HNRNPC,26665,14312.57930061152
HNRNPC,26666,8918.687917604366
HNRNPC,26667,9047.688807659182
HNRNPC,26668,10518.027322245822
HNRNPC,26669,12680.466568483926
HNRNPC,26670,9634.131497859085
HNRNPC,26671,8861.630610558725
HNRNPC,26672,7421.740253851352
HNRNPC,26673,17818.995354074337
HNRNPC,26674,10192.1247723733
HNRNPC,26675,9601.361194144938
HNRNPC,26690,9468.704889229819
HNRNPC,26691,7877.265253856522
HNRNPC,26692,7534.599487289688
HNRNPC,26693,1515.5644081139376
HNRNPC,26694,9927.548665457725
HNRNPC,26695,10527.408626447488
HNRNPC,26696,15353.63357818871
HNRNPC,26697,8571.393031889764
HNRNPC,26698,6923.406817125485
HNRNPC,26699,2386.2218352208406
HNRNPC,26700,12344.20927920426
HNRNPC,26701,8942.79405902761
HNRNPC,26784,6972.71906368205
HNRNPC,26785,12180.147218660744
HNRNPC,26786,11666.252842399286
HNRNPC,26787,6688.213717479506
HNRNPC,26788,3136.91320613878
HNRNPC,26789,13521.58433800551
HNRNPC,26790,7359.193230923297
HNRNPC,26791,9649.154798926345
HNRNPC,26792,9621.645477895216
HNRNPC,26793,9463.358055535633
HNRNPC,26794,4645.890679029439
HNRNPC,26795,9182.965183743712
HNRNPC,26796,7405.764345615941
HNRNPC,26797,7884.068314375756
HNRNPC,26798,6023.393732382566
HNRNPC,26799,7217.325011088683
HNRNPC,26800,9152.42209574286
HNRNPC,26801,13096.898553626817
HNRNPC,26802,8478.49394781876
HNRNPC,26803,12466.72085628771
HNRNPC,26818,8449.560031093646
HNRNPC,26819,11443.10634343241
HNRNPC,26820,10521.751062448062
HNRNPC,26821,9034.701804917657
HNRNPC,26822,8127.251055135155
HNRNPC,26823,17650.19444921221
HNRNPC,26824,6814.567291374902
HNRNPC,26825,7375.44441621902
HNRNPC,26826,3851.7455487764246
HNRNPC,26827,7248.616292718515
HNRNPC,26828,7924.690452139659
HNRNPC,26829,8181.265352365285
HNRNPC,26912,9505.035849659442
HNRNPC,26913,8820.486635198924
HNRNPC,26914,8434.674622448327
HNRNPC,26915,7066.73570832702
HNRNPC,26916,8840.614677863225
HNRNPC,26917,5600.729575104327
HNRNPC,26918,5080.525803571483
HNRNPC,26919,10175.497132848826
HNRNPC,26920,15158.544693771839
