gene_name,sample_id,TPM
HNRNPA1,26656,13.372676221901592
HNRNPA1,26657,13.72767156603317
HNRNPA1,26658,14.287976616790399
HNRNPA1,26659,13.314347578814441
HNRNPA1,26660,14.1404465167867
HNRNPA1,26661,12.454456097804142
HNRNPA1,26662,14.430649540742163
HNRNPA1,26663,14.456097172835177
HNRNPA1,26664,13.820956863232572
HNRNPA1,26665,14.084696563746022
HNRNPA1,26666,13.671907225670573
HNRNPA1,26667,13.863154819049665
HNRNPA1,26668,13.833546303205473
HNRNPA1,26669,14.413700443488034
HNRNPA1,26670,13.792355151242896
HNRNPA1,26671,13.727520291464769
HNRNPA1,26672,13.725823185398335
HNRNPA1,26673,14.442085513778999
HNRNPA1,26674,13.735740216754007
HNRNPA1,26675,14.65338782319211
HNRNPA1,26690,13.602433999762292
HNRNPA1,26691,13.75899160028044
HNRNPA1,26692,13.840094719253944
HNRNPA1,26693,10.520223053036759
HNRNPA1,26694,13.46741354622565
HNRNPA1,26695,13.48020876052016
HNRNPA1,26696,14.798022841248189
HNRNPA1,26697,13.259063137888772
HNRNPA1,26698,13.91675126551316
HNRNPA1,26699,11.099747722831838
HNRNPA1,26700,13.682593548170798
HNRNPA1,26701,13.822670433363516
HNRNPA1,26784,14.008578090159904
HNRNPA1,26785,14.449078180741038
HNRNPA1,26786,14.721788094358871
HNRNPA1,26787,14.613576425460284
HNRNPA1,26788,12.37666244414081
HNRNPA1,26789,13.61430042471115
HNRNPA1,26790,13.791701665783187
HNRNPA1,26791,13.60323667368547
HNRNPA1,26792,14.042885447190717
HNRNPA1,26793,13.656797681348364
HNRNPA1,26794,13.338935231132346
HNRNPA1,26795,13.472344899362664
HNRNPA1,26796,13.556698008739172
HNRNPA1,26797,13.885820671441218
HNRNPA1,26798,12.96993607572039
HNRNPA1,26799,13.75937139834919
HNRNPA1,26800,14.000271528294897
HNRNPA1,26801,14.308044991125993
HNRNPA1,26802,13.744220023692753
HNRNPA1,26803,14.083119588093938
HNRNPA1,26818,13.285171019303577
HNRNPA1,26819,13.622660343125418
